fixture/id,fixture/teams/home/name,fixture/teams/away/name,fixture/status/elapsed
202101,"""Portland Timbers""","""Minnesota United FC""",null
202102,"""Sporting Kansas City""","""Vancouver Whitecaps""",null
202103,"""Seattle Sounders""","""Real Salt Lake""",null
202104,"""New York City FC""","""Atlanta United FC""",null
202105,"""Nashville SC""","""Orlando City SC""",null
202106,"""Philadelphia Union""","""New York Red Bulls""",null
202107,"""Colorado Rapids""","""TBD""",null
202108,"""New England Revolution""","""TBD""",null
202109,"""TBD""","""TBD""",null
202110,"""TBD""","""TBD""",null
202111,"""TBD""","""TBD""",null
202112,"""TBD""","""TBD""",null
202113,"""TBD""","""TBD""",null
202114,"""TBD""","""TBD""",null
202115,"""TBD""","""TBD""",null
202116,"""TBD""","""TBD""",null
202117,"""TBD""","""TBD""",null
202118,"""TBD""","""TBD""",null
202119,"""TBD""","""TBD""",null
202120,"""TBD""","""TBD""",null
202121,"""TBD""","""TBD""",null
202122,"""TBD""","""TBD""",null
202123,"""TBD""","""TBD""",null
