fixture/id,fixture/teams/home/name,fixture/teams/home/winner,fixture/teams/away/name,fixture/teams/away/winner,fixture/status/elapsed
202101,"""Portland Timbers""",null,"""Minnesota United FC""",null,null
202102,"""Sporting Kansas City""",null,"""Vancouver Whitecaps""",null,null
202103,"""Seattle Sounders""",null,"""Real Salt Lake""",null,null
202104,"""New York City FC""",null,"""Atlanta United FC""",null,null
202105,"""Nashville SC""",null,"""Orlando City SC""",null,null
202106,"""Philadelphia Union""",null,"""New York Red Bulls""",null,null
202107,"""Colorado Rapids""",null,"""TBD""",null,null
202108,"""New England Revolution""",null,"""TBD""",null,null
202109,"""TBD""",null,"""TBD""",null,null
202110,"""TBD""",null,"""TBD""",null,null
202111,"""TBD""",null,"""TBD""",null,null
202112,"""TBD""",null,"""TBD""",null,null
202113,"""TBD""",null,"""TBD""",null,null
202114,"""TBD""",null,"""TBD""",null,null
202115,"""TBD""",null,"""TBD""",null,null
202116,"""TBD""",null,"""TBD""",null,null
202117,"""TBD""",null,"""TBD""",null,null
202118,"""TBD""",null,"""TBD""",null,null
202119,"""TBD""",null,"""TBD""",null,null
202120,"""TBD""",null,"""TBD""",null,null
202121,"""TBD""",null,"""TBD""",null,null
202122,"""TBD""",null,"""TBD""",null,null
202123,"""TBD""",null,"""TBD""",null,null
